Student_ID,Student_Name,Department,Semester,Month,Month_Order,Total_Classes,Attended_Classes,Attendance_Pct,Semester_GPA
DYP2024CS118,Riya Sen,Computer Science,Sem 4,Oct,15,25,22,88.0,9.46
DYP2024CS118,Riya Sen,Computer Science,Sem 4,Nov,16,22,20,90.9,9.87
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 1,Aug,1,24,15,62.5,6.75
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 1,Sep,2,25,15,60.0,6.51
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 1,Oct,3,25,17,68.0,6.93
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 1,Nov,4,22,16,72.7,6.28
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 2,Aug,5,28,16,57.1,5.62
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 2,Sep,6,26,16,61.5,6.92
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 2,Oct,7,28,16,57.1,5.56
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 2,Nov,8,23,15,65.2,6.45
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 3,Aug,9,22,13,59.1,5.88
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 3,Sep,10,25,15,60.0,5.05
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 3,Oct,11,24,15,62.5,5.45
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 3,Nov,12,25,18,72.0,7.89
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 4,Aug,13,23,16,69.6,7.7
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 4,Sep,14,27,15,55.6,4.94
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 4,Oct,15,24,16,66.7,6.55
DYP2024CS119,Sahil Kapoor,Information Technology,Sem 4,Nov,16,23,16,69.6,7.14
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 1,Aug,1,27,24,88.9,8.83
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 1,Sep,2,22,21,95.5,9.15
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 1,Oct,3,27,24,88.9,8.76
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 1,Nov,4,23,19,82.6,8.21
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 2,Aug,5,22,21,95.5,8.66
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 2,Sep,6,26,21,80.8,7.72
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 2,Oct,7,25,23,92.0,8.74
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 2,Nov,8,24,23,95.8,9.67
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 3,Aug,9,25,22,88.0,9.49
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 3,Sep,10,24,23,95.8,9.75
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 3,Oct,11,28,23,82.1,7.98
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 3,Nov,12,26,23,88.5,8.22
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 4,Aug,13,26,25,96.2,9.72
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 4,Sep,14,25,21,84.0,8.95
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 4,Oct,15,24,22,91.7,8.6
DYP2024CS120,Tanya Bhatia,AI & Data Science,Sem 4,Nov,16,25,24,96.0,9.02
DYP2024CS121,Varun Malhotra,Information Technology,Sem 1,Aug,1,25,22,88.0,8.14
DYP2024CS121,Varun Malhotra,Information Technology,Sem 1,Sep,2,23,19,82.6,8.47
DYP2024CS121,Varun Malhotra,Information Technology,Sem 1,Oct,3,27,25,92.6,8.57
DYP2024CS121,Varun Malhotra,Information Technology,Sem 1,Nov,4,25,21,84.0,7.52
DYP2024CS121,Varun Malhotra,Information Technology,Sem 2,Aug,5,22,18,81.8,8.11
DYP2024CS121,Varun Malhotra,Information Technology,Sem 2,Sep,6,26,23,88.5,9.42
DYP2024CS121,Varun Malhotra,Information Technology,Sem 2,Oct,7,26,23,88.5,8.31
DYP2024CS121,Varun Malhotra,Information Technology,Sem 2,Nov,8,25,23,92.0,8.32
DYP2024CS121,Varun Malhotra,Information Technology,Sem 3,Aug,9,26,22,84.6,9.21
DYP2024CS121,Varun Malhotra,Information Technology,Sem 3,Sep,10,28,25,89.3,8.71
DYP2024CS121,Varun Malhotra,Information Technology,Sem 3,Oct,11,25,23,92.0,8.93
DYP2024CS121,Varun Malhotra,Information Technology,Sem 3,Nov,12,23,21,91.3,9.34
DYP2024CS121,Varun Malhotra,Information Technology,Sem 4,Aug,13,23,19,82.6,7.48
DYP2024CS121,Varun Malhotra,Information Technology,Sem 4,Sep,14,23,21,91.3,8.91
DYP2024CS121,Varun Malhotra,Information Technology,Sem 4,Oct,15,27,23,85.2,9.02
DYP2024CS121,Varun Malhotra,Information Technology,Sem 4,Nov,16,25,24,96.0,9.16
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 1,Aug,1,23,22,95.7,9.31
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 1,Sep,2,26,23,88.5,9.47
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 1,Oct,3,26,25,96.2,9.41
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 1,Nov,4,27,24,88.9,9.18
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 2,Aug,5,23,22,95.7,9.88
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 2,Sep,6,26,25,96.2,10.0
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 2,Oct,7,25,24,96.0,9.23
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 2,Nov,8,28,26,92.9,8.94
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 3,Aug,9,22,21,95.5,10.0
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 3,Sep,10,27,23,85.2,7.8
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 3,Oct,11,27,25,92.6,9.86
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 3,Nov,12,22,19,86.4,8.8
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 4,Aug,13,23,21,91.3,8.98
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 4,Sep,14,28,27,96.4,10.0
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 4,Oct,15,23,20,87.0,8.88
DYP2024CS122,Yash Singhania,AI & Data Science,Sem 4,Nov,16,28,27,96.4,10.0
DYP2024CS123,Zoya Khan,Information Technology,Sem 1,Aug,1,24,21,87.5,9.06
DYP2024CS123,Zoya Khan,Information Technology,Sem 1,Sep,2,22,19,86.4,8.52
DYP2024CS123,Zoya Khan,Information Technology,Sem 1,Oct,3,28,23,82.1,7.62
DYP2024CS123,Zoya Khan,Information Technology,Sem 1,Nov,4,28,25,89.3,9.3
DYP2024CS123,Zoya Khan,Information Technology,Sem 2,Aug,5,23,21,91.3,8.22
DYP2024CS123,Zoya Khan,Information Technology,Sem 2,Sep,6,23,19,82.6,8.87
DYP2024CS123,Zoya Khan,Information Technology,Sem 2,Oct,7,24,22,91.7,8.69
DYP2024CS123,Zoya Khan,Information Technology,Sem 2,Nov,8,23,22,95.7,10.0
DYP2024CS123,Zoya Khan,Information Technology,Sem 3,Aug,9,27,25,92.6,9.53
DYP2024CS123,Zoya Khan,Information Technology,Sem 3,Sep,10,23,21,91.3,8.64
DYP2024CS123,Zoya Khan,Information Technology,Sem 3,Oct,11,27,26,96.3,10.0
DYP2024CS123,Zoya Khan,Information Technology,Sem 3,Nov,12,25,22,88.0,8.04
DYP2024CS123,Zoya Khan,Information Technology,Sem 4,Aug,13,25,23,92.0,9.95
DYP2024CS123,Zoya Khan,Information Technology,Sem 4,Sep,14,26,24,92.3,8.9
DYP2024CS123,Zoya Khan,Information Technology,Sem 4,Oct,15,25,22,88.0,8.5
DYP2024CS123,Zoya Khan,Information Technology,Sem 4,Nov,16,23,20,87.0,8.64
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 1,Aug,1,28,19,67.9,7.06
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 1,Sep,2,27,17,63.0,6.89
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 1,Oct,3,24,17,70.8,7.09
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 1,Nov,4,25,17,68.0,6.23
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 2,Aug,5,28,19,67.9,6.75
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 2,Sep,6,22,14,63.6,6.91
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 2,Oct,7,25,18,72.0,7.39
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 2,Nov,8,25,18,72.0,7.13
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 3,Aug,9,25,16,64.0,6.15
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 3,Sep,10,27,17,63.0,6.07
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 3,Oct,11,24,17,70.8,6.87
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 3,Nov,12,28,21,75.0,7.04
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 4,Aug,13,26,15,57.7,5.61
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 4,Sep,14,22,16,72.7,7.99
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 4,Oct,15,22,15,68.2,7.35
DYP2024CS124,Bhavya Reddy,Information Technology,Sem 4,Nov,16,24,16,66.7,7.32
DYP2024CS125,Chirag Shetty,Computer Science,Sem 1,Aug,1,27,20,74.1,7.56
DYP2024CS125,Chirag Shetty,Computer Science,Sem 1,Sep,2,24,18,75.0,7.1
DYP2024CS125,Chirag Shetty,Computer Science,Sem 1,Oct,3,27,18,66.7,6.95
DYP2024CS125,Chirag Shetty,Computer Science,Sem 1,Nov,4,24,14,58.3,6.49
DYP2024CS125,Chirag Shetty,Computer Science,Sem 2,Aug,5,26,19,73.1,6.84
DYP2024CS125,Chirag Shetty,Computer Science,Sem 2,Sep,6,26,16,61.5,6.93
DYP2024CS125,Chirag Shetty,Computer Science,Sem 2,Oct,7,28,19,67.9,6.22
DYP2024CS125,Chirag Shetty,Computer Science,Sem 2,Nov,8,23,13,56.5,6.31
DYP2024CS125,Chirag Shetty,Computer Science,Sem 3,Aug,9,25,14,56.0,5.02
DYP2024CS125,Chirag Shetty,Computer Science,Sem 3,Sep,10,27,16,59.3,6.16
DYP2024CS125,Chirag Shetty,Computer Science,Sem 3,Oct,11,22,14,63.6,6.71
DYP2024CS125,Chirag Shetty,Computer Science,Sem 3,Nov,12,23,16,69.6,7.64
DYP2024CS125,Chirag Shetty,Computer Science,Sem 4,Aug,13,24,16,66.7,6.59
DYP2024CS125,Chirag Shetty,Computer Science,Sem 4,Sep,14,24,16,66.7,6.25
DYP2024CS125,Chirag Shetty,Computer Science,Sem 4,Oct,15,23,14,60.9,5.66
DYP2024CS125,Chirag Shetty,Computer Science,Sem 4,Nov,16,28,16,57.1,5.63
